iter	RMSE
0	261.1540201
1	253.9900902
2	247.0789558
3	240.9602557
4	234.042956
5	227.8415703
6	221.3708355
7	215.2967398
8	209.4777891
9	203.8447948
10	198.452745
11	193.8372787
12	189.5130884
13	184.3528679
14	179.7690791
15	175.1457966
16	170.5875255
17	166.2202397
18	161.6011621
19	157.2102053
20	153.2254834
21	149.3466212
22	145.8675123
23	142.6550888
24	138.9371131
25	135.2992645
26	131.7851133
27	128.3575979
28	125.8329308
29	123.100762
30	120.4746253
31	117.8652153
32	115.0925532
33	112.3712714
34	109.9597901
35	107.6014824
36	105.5507475
37	103.3596785
38	100.9785826
39	98.81909542
40	96.50543503
41	94.54079276
42	92.42121687
43	90.26956461
44	88.58055403
45	86.88290158
46	85.09319984
47	83.3541759
48	81.56862877
49	80.04634811
50	78.36383705
51	76.81160227
52	75.51329144
53	74.00553779
54	72.3030861
55	70.63922521
56	69.1130897
57	67.78852273
58	66.38276591
59	65.02438371
60	63.77613647
61	62.57017512
62	61.54425674
63	60.40280681
64	59.35635413
65	58.38958593
66	57.4008114
67	56.33133697
68	55.2659436
69	54.50758032
70	53.6488291
71	52.6277614
72	51.81793231
73	50.96054745
74	49.95681565
75	49.20778998
76	48.42254836
77	47.73892255
78	46.90277653
79	46.01795614
80	45.34219691
81	44.69089135
82	44.18059638
83	43.56927414
84	42.89344261
85	42.26280818
86	41.71524834
87	41.02398411
88	40.37363688
89	39.76056682
90	39.15405463
91	38.75609525
92	38.25362196
93	37.70710042
94	37.21333041
95	36.71961317
96	36.29189524
97	35.87623544
98	35.38248809
99	34.83000092
100	34.46880481
101	33.95462266
102	33.61784611
103	33.07212837
104	32.65870869
105	32.21454121
106	31.78163537
107	31.42523512
108	31.00014189
109	30.62714108
110	30.30753069
111	29.88276304
112	29.42303047
113	29.06928651
114	28.72129645
115	28.42384703
116	28.09932619
117	27.77959422
118	27.44516638
119	27.14265607
120	26.87593703
121	26.56162824
122	26.28206161
123	26.03783346
124	25.79058731
125	25.55830677
126	25.33995553
127	25.13047195
128	24.86120341
129	24.64711706
130	24.47056892
131	24.21667652
132	24.00136327
133	23.68190257
134	23.48495273
135	23.21619075
136	22.98051787
137	22.77652952
138	22.56234978
139	22.29014103
140	22.10749263
141	21.96315402
142	21.70981619
143	21.52581138
144	21.34553297
145	21.2063151
146	21.03749361
147	20.89263102
148	20.71022662
149	20.47895808
150	20.35462542
151	20.15284615
152	20.00907426
153	19.86803078
154	19.69304309
155	19.5472341
156	19.34426099
157	19.24123049
158	19.14640863
159	18.99295574
160	18.87818668
161	18.7878566
162	18.61355084
163	18.50281182
164	18.35242435
165	18.21600726
166	18.1058682
167	17.96717109
168	17.80281455
169	17.6989202
170	17.52640825
