iter	Passed	Remaining
549	1304	1067
550	1306	1064
551	1308	1062
552	1311	1059
553	1313	1057
554	1315	1054
555	1317	1052
556	1320	1050
557	1322	1047
558	1324	1045
559	1326	1042
560	1328	1039
561	1330	1036
562	1333	1034
563	1335	1032
564	1337	1029
565	1339	1027
566	1341	1024
567	1343	1022
568	1346	1020
569	1348	1017
570	1350	1014
571	1354	1013
572	1356	1010
573	1359	1008
574	1361	1006
575	1363	1003
576	1365	1001
577	1368	998
578	1370	996
579	1372	993
580	1374	991
581	1376	988
582	1379	986
583	1381	984
584	1383	981
585	1385	978
586	1387	976
587	1389	973
588	1391	971
589	1393	968
590	1395	965
591	1398	963
592	1400	961
593	1402	958
594	1404	956
595	1406	953
596	1408	950
597	1411	948
598	1413	946
599	1415	943
600	1417	941
601	1419	938
602	1421	936
603	1423	933
604	1426	931
605	1428	928
606	1431	926
607	1434	924
608	1436	922
609	1438	919
610	1440	917
611	1443	915
612	1445	912
613	1448	910
614	1450	908
615	1452	905
616	1455	903
617	1457	900
618	1459	898
619	1461	895
620	1463	893
621	1465	890
622	1467	888
623	1469	885
624	1471	883
625	1474	880
626	1476	878
627	1478	875
628	1481	873
629	1484	871
630	1486	869
631	1488	866
632	1490	864
633	1492	861
634	1494	859
635	1497	856
636	1499	854
637	1501	852
638	1503	849
639	1505	846
640	1507	844
641	1509	841
642	1511	839
643	1513	836
644	1515	834
645	1517	831
646	1520	829
647	1523	827
648	1526	825
649	1528	822
650	1530	820
651	1532	818
652	1534	815
653	1536	812
654	1538	810
655	1540	807
656	1542	805
657	1544	802
658	1546	800
659	1548	797
660	1550	795
661	1552	792
662	1554	790
663	1556	787
664	1558	785
665	1562	783
666	1565	781
667	1567	778
668	1570	776
669	1572	774
670	1574	771
671	1576	769
672	1578	766
673	1580	764
674	1583	762
675	1585	759
676	1587	757
677	1589	755
678	1592	752
679	1595	750
680	1597	748
681	1599	745
682	1602	743
683	1604	741
684	1606	738
685	1608	736
686	1610	733
687	1612	731
688	1615	729
689	1617	726
690	1621	724
691	1623	722
692	1627	720
693	1629	718
694	1631	715
695	1634	713
696	1636	711
697	1639	709
698	1642	707
699	1644	704
700	1647	702
701	1650	700
702	1652	698
703	1654	695
704	1657	693
705	1659	691
706	1661	688
707	1663	686
708	1665	683
709	1667	681
710	1669	678
711	1671	676
712	1673	673
713	1675	671
714	1677	668
715	1679	666
716	1681	663
717	1683	661
718	1685	658
719	1687	656
720	1689	653
721	1691	651
722	1693	648
723	1695	646
724	1698	644
725	1699	641
726	1701	639
727	1703	636
728	1705	633
729	1707	631
730	1708	628
731	1710	626
732	1712	623
733	1714	621
734	1716	618
735	1718	616
736	1720	613
737	1722	611
738	1724	609
739	1726	606
740	1728	604
741	1730	601
742	1732	599
743	1734	596
744	1736	594
745	1738	591
746	1740	589
747	1743	587
748	1745	584
749	1747	582
750	1750	580
751	1752	577
752	1754	575
753	1756	573
754	1758	570
755	1759	568
756	1762	565
757	1764	563
758	1766	560
759	1768	558
760	1770	556
761	1772	553
762	1774	551
763	1776	548
764	1778	546
765	1780	543
766	1782	541
767	1784	539
768	1786	536
769	1788	534
770	1790	531
771	1792	529
772	1794	527
773	1796	524
774	1798	522
775	1801	520
776	1803	517
777	1805	515
778	1807	512
779	1809	510
780	1811	507
781	1813	505
782	1815	503
783	1817	500
784	1819	498
785	1821	495
786	1823	493
787	1824	490
788	1826	488
789	1828	486
790	1830	483
791	1832	481
792	1834	478
793	1836	476
794	1839	474
795	1841	471
796	1843	469
797	1845	467
798	1847	464
799	1849	462
800	1851	460
801	1853	457
802	1855	455
803	1857	452
804	1859	450
805	1861	448
806	1864	445
807	1866	443
808	1868	441
809	1870	438
810	1872	436
811	1874	433
812	1875	431
813	1878	429
814	1880	426
815	1881	424
816	1884	422
817	1886	419
818	1887	417
819	1890	415
820	1892	412
821	1894	410
822	1897	408
823	1899	405
824	1902	403
825	1904	401
826	1906	398
827	1908	396
828	1910	394
829	1911	391
830	1913	389
831	1916	386
832	1917	384
833	1919	382
834	1922	379
835	1924	377
836	1926	375
837	1929	372
838	1931	370
839	1935	368
840	1937	366
841	1939	363
842	1942	361
843	1944	359
844	1947	357
845	1950	355
846	1952	352
847	1955	350
848	1957	348
849	1960	345
850	1962	343
851	1964	341
852	1967	339
853	1969	336
854	1971	334
855	1974	332
856	1976	329
857	1979	327
858	1981	325
859	1983	322
860	1984	320
861	1987	318
862	1989	315
863	1990	313
864	1992	311
865	1994	308
866	1996	306
867	1998	303
868	2000	301
869	2002	299
870	2004	296
871	2006	294
872	2007	292
873	2009	289
874	2011	287
875	2013	285
876	2015	282
877	2017	280
878	2018	277
879	2020	275
880	2022	273
881	2024	270
882	2026	268
883	2028	266
884	2030	263
885	2032	261
886	2034	259
887	2036	256
888	2038	254
889	2040	252
890	2041	249
891	2044	247
892	2045	245
893	2047	242
894	2049	240
895	2051	238
896	2053	235
897	2055	233
898	2057	231
899	2058	228
900	2060	226
901	2062	224
902	2064	221
903	2066	219
904	2067	217
905	2070	214
906	2072	212
907	2074	210
908	2076	207
909	2078	205
910	2079	203
911	2081	200
912	2083	198
913	2085	196
914	2087	193
915	2090	191
916	2092	189
917	2094	187
918	2096	184
919	2098	182
920	2099	180
921	2101	177
922	2103	175
923	2105	173
924	2107	170
925	2109	168
926	2111	166
927	2112	163
928	2114	161
929	2117	159
930	2118	157
931	2120	154
932	2122	152
933	2124	150
934	2126	147
935	2127	145
936	2129	143
937	2131	140
938	2133	138
939	2135	136
940	2137	134
941	2138	131
942	2140	129
943	2142	127
944	2144	124
945	2146	122
946	2148	120
947	2150	117
948	2151	115
949	2153	113
950	2155	111
951	2157	108
952	2174	107
953	2176	104
954	2178	102
955	2180	100
956	2182	98
957	2184	95
958	2186	93
959	2187	91
960	2189	88
961	2191	86
962	2193	84
963	2195	81
964	2197	79
965	2199	77
966	2201	75
967	2203	72
968	2204	70
969	2207	68
970	2208	65
971	2210	63
972	2212	61
973	2214	59
974	2216	56
975	2218	54
976	2220	52
977	2222	49
978	2224	47
979	2227	45
980	2229	43
981	2231	40
982	2233	38
983	2235	36
984	2237	34
985	2239	31
986	2241	29
987	2243	27
988	2245	24
989	2247	22
990	2249	20
991	2251	18
992	2253	15
993	2255	13
994	2257	11
995	2259	9
996	2261	6
997	2263	4
998	2264	2
999	2266	0
